daylight?,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,
temp in the burrow,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,-1.3100036621093523,-2.4499877929687273,-3.0499938964843523,-3.5000061035156023,-3.7800048828124773,-3.9599975585937273,-4.090002441406227,-3.7399963378906023,-2.8400024414062273,-1.6000122070312273,-0.5499938964843523,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,
temp in chosen micro-environment,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,-1.3100036621093523,-2.4499877929687273,-3.0499938964843523,-3.5000061035156023,-3.7800048828124773,-3.9599975585937273,-4.090002441406227,-3.7399963378906023,-2.8400024414062273,-1.6000122070312273,-0.5499938964843523,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,0.010003662109397737,
last micro-environment in the current hour,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,
time in the burrow in the current hour,60.0,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,
time in the shade in the current hour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
time in the open in the current hour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
time on a shaded tree in the current hour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
time on an open tree in the current hour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
minutes active,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
minutes active in the open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
minutes active in the shade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
minutes active on an open tree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
minutes active on a shaded tree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
is foraging?,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
energy_lost in the current hour,1.3230568518714385,1.3230568518714385,1.3230568518714385,1.3230568518714385,1.3230568518714385,1.3230568518714385,1.3230568518714385,1.3230568518714385,1.160962498415752,1.0370480368232668,0.9772340960160035,0.934648011513669,0.909092633912638,0.8930349457053304,0.8816135243045055,0.9127009577510556,0.9977649501349499,1.1281005835740807,1.251695270436653,1.3230568518714385,1.3230568518714385,1.3230568518714385,1.3230568518714385,1.3230568518714385,
digesting efficiency,24.825951516353413,25.81933699395847,26.812722471563525,27.80610794916858,28.799493426773637,29.792878904378693,30.78626438198375,31.779649859588805,32.77477134112379,33.77117911076679,34.76818423952634,35.76560131309513,36.76325909943194,37.76106530994582,38.75897565279895,39.75659977651816,40.75340209450684,41.748869582805156,42.74302371651035,43.7364091941154,44.729794671720455,45.72318014932551,46.71656562693056,47.70995110453561,
energy stored in the gut,3.7373813783479504e-25,3.7373813783479504e-25,3.7373813783479504e-25,3.7373813783479504e-25,3.7373813783479504e-25,3.7373813783479504e-25,3.7373813783479504e-25,3.7373813783479504e-25,3.7373813783479504e-25,3.7373813783479504e-25,3.7373813783479504e-25,3.7373813783479504e-25,3.7373813783479504e-25,3.7373813783479504e-25,3.7373813783479504e-25,3.7373813783479504e-25,3.7373813783479504e-25,3.7373813783479504e-25,3.7373813783479504e-25,3.7373813783479504e-25,3.7373813783479504e-25,3.7373813783479504e-25,3.7373813783479504e-25,3.7373813783479504e-25,
maximum energy that can be stored in the gut,9347.199999999999,9347.199999999999,9347.199999999999,9347.199999999999,9347.199999999999,9347.199999999999,9347.199999999999,9347.199999999999,9347.199999999999,9347.199999999999,9347.199999999999,9347.199999999999,9347.199999999999,9347.199999999999,9347.199999999999,9347.199999999999,9347.199999999999,9347.199999999999,9347.199999999999,9347.199999999999,9347.199999999999,9347.199999999999,9347.199999999999,9347.199999999999,
energy gained today,-54.64625336836969
energy balance for today,-82.9298879512863
day:,12.1.1994
