daylight?,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,
temp on open tree while lying at the height of: 156 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-21.065458658118985,-17.57712818310131,-14.93319456369278,-11.778908812351915,-10.3694443482118,-9.380986451410763,-8.672619190125886,-8.86116547720593,-10.331997593113954,-14.818522017184534,nan,nan,
temp on open tree while lying at the height of: 174 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-21.085811339252757,-17.68996121253673,-15.068689557857681,-11.97624606304845,-10.570922561756902,-9.583204816718307,-8.861705889925702,-9.024028110347672,-10.436006795346657,-14.903116209372001,nan,nan,
temp on open tree while lying at the height of: 198 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-21.147897988871847,-17.796602821737196,-15.275610308693729,-12.187938926495917,-10.787661882230054,-9.82452486126698,-9.073317352162064,-9.201824383164421,-10.581992754211342,-14.980996018788971,nan,nan,
temp on open tree while standing at the height of: 3 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-12.610948017965029,-12.71234697053194,-9.984972038799981,-7.301033079525553,-5.867169592007656,-5.0269027153609045,-4.710110047477485,-5.391595399608832,-7.2714986078610195,-11.114859111416877,nan,nan,
temp on open tree while standing at the height of: 12 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-12.48875280697888,-14.75332241552718,-12.460367742304243,-9.737036562349147,-8.31074665148094,-7.391658424730622,-6.877949347363881,-7.321466520277795,-8.966917066329643,-12.660718738962714,nan,nan,
temp on open tree while standing at the height of: 21 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-17.263133429664492,-15.568740284364935,-13.500265845825254,-10.762546314522979,-9.3933311085421,-8.436528965239233,-7.858187027247709,-8.192683461764034,-9.679316882360013,-13.247961702300643,nan,nan,
temp on open tree while standing at the height of: 30 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-17.534581178676547,-16.023096951096647,-14.121144400886237,-11.450099894068387,-10.092278072202816,-9.14097217161617,-8.51665941822489,-8.755381565231176,-10.142783261112186,-13.606810769170181,nan,nan,
temp on open tree while standing at the height of: 48 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-17.928070600003593,-16.685307147720494,-14.9997334707611,-12.350682379890543,-11.080220690988142,-10.101625505134109,-9.393850603738656,-9.527033425291506,-10.76575835778965,-14.099598531693857,nan,nan,
temp on open tree while standing at the height of: 66 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-18.172775885070564,-17.113316346460863,-15.605418512915946,-12.996778874801919,-11.754567001379598,-10.790069642223386,-10.014334298493566,-10.049096776035924,-11.182408650414175,-14.420052256116662,nan,nan,
temp on open tree while standing at the height of: 84 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-18.352011717657916,-17.383573305671547,-16.04616012660125,-13.468995279428384,-12.259410774283424,-11.28933840437628,-10.503187560664173,-10.474774806458868,-11.505777174597597,-14.650288891352716,nan,nan,
temp on open tree while standing at the height of: 102 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-18.461058569253765,-17.646044328188367,-16.39157058091746,-13.874124625212346,-12.701305428149851,-11.72072633989086,-10.8825482355237,-10.807183108570541,-11.76166991505869,-14.847896115222227,nan,nan,
temp on open tree while standing at the height of: 120 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-18.57120824594196,-17.85312801821547,-16.712084237332135,-14.193982009441186,-13.051734520197613,-12.072724408380566,-11.214690723446779,-11.092753172818277,-11.983852857265276,-15.013383611117376,nan,nan,
temp on open tree while standing at the height of: 138 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-18.686477300739057,-18.05864574520939,-16.98808690642693,-14.494513297310107,-13.364279379941479,-12.397524427060091,-11.497866458045564,-11.337429251770573,-12.179223014689967,-15.153853360521452,nan,nan,
temp on open tree while standing at the height of: 156 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-18.803408828115806,-18.163600526638902,-17.213150862076645,-14.722071258612004,-13.630460036556258,-12.662374910127141,-11.768169446610841,-11.54776721434365,-12.347589252101045,-15.263110991427709,nan,nan,
temp on open tree while standing at the height of: 174 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-18.849571824456945,-18.320417044799882,-17.387181132299418,-14.97357028403718,-13.882980325734763,-12.91351007342115,-12.002797893171078,-11.75184801401781,-12.481240106185851,-15.37876011871765,nan,nan,
temp on open tree while standing at the height of: 198 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-18.959470344085503,-18.470885137775895,-17.657597201191066,-15.240780399580103,-14.152564002998702,-13.213940044509684,-12.262507322997351,-11.972538752100945,-12.670988740398172,-15.487267339616949,nan,nan,
temp in the burrow,-6.139990234374977,-6.239996337890602,-6.329992675781227,-6.429998779296852,-6.540014648437477,-6.639990234374977,-6.750006103515602,-6.859991455078102,-6.970007324218727,-7.079992675781227,-7.190008544921852,-7.290014648437477,-7.380010986328102,-7.440008544921852,-7.459997558593727,-7.429998779296852,-7.359991455078102,-7.259985351562477,-7.160009765624977,-7.070013427734352,-6.979986572265602,-6.919989013671852,-6.919989013671852,-6.949987792968727,
temp in chosen micro-environment,-6.139990234374977,-6.239996337890602,-6.329992675781227,-6.429998779296852,-6.540014648437477,-6.639990234374977,-6.750006103515602,-6.859991455078102,-6.970007324218727,-7.079992675781227,-7.190008544921852,-7.290014648437477,-7.380010986328102,-7.440008544921852,-7.459997558593727,-7.429998779296852,-7.359991455078102,-7.259985351562477,-7.160009765624977,-7.070013427734352,-6.979986572265602,-6.919989013671852,-6.919989013671852,-6.949987792968727,
last micro-environment in the current hour,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,
time in the burrow in the current hour,60,60,60,60,60,60,60,60,60,60,60,60,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60,60,
time in the shade in the current hour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
time in the open in the current hour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
time on a shaded tree in the current hour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
time on an open tree in the current hour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
minutes active,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
minutes active in the open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
minutes active in the shade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
minutes active on an open tree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
minutes active on a shaded tree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
is foraging?,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
energy_lost in the current hour,0.7196623269134009,0.7125715950573552,0.7062503299634517,0.699291744630115,0.6917158367433988,0.6849025272160912,0.6774825076070898,0.6701448990619931,0.6628847589773539,0.6557052542414065,0.6486015487492212,0.642210968762463,0.6365138769783968,0.6327439209022969,0.6314928734069708,0.633371330650474,0.6377767986509628,0.6441232546346274,0.6505308979607525,0.6563534485257878,0.6622301145735837,0.6661757525508764,0.6661757525508764,0.6642000037171862,
digesting efficiency,24.974069999171505,25.973330781473067,26.972632910711795,27.971979567056025,28.971373484580255,29.97080878710071,30.970287913420716,31.96980905545504,32.96937043142154,33.96897024028451,34.96860670548663,35.96827494365921,36.96797051628569,37.967683650597934,38.96740251845754,39.9671127595825,40.966802354695325,41.966461206989386,42.96608785392298,43.96568424941256,44.96524918626816,45.964792492197546,46.96433579812693,47.96388998610932,
energy stored in the gut,8.405401829133959e-126,8.405401829133959e-126,8.405401829133959e-126,8.405401829133959e-126,8.405401829133959e-126,8.405401829133959e-126,8.405401829133959e-126,8.405401829133959e-126,8.405401829133959e-126,8.405401829133959e-126,8.405401829133959e-126,8.405401829133959e-126,8.405401829133959e-126,8.405401829133959e-126,8.405401829133959e-126,8.405401829133959e-126,8.405401829133959e-126,8.405401829133959e-126,8.405401829133959e-126,8.405401829133959e-126,8.405401829133959e-126,8.405401829133959e-126,8.405401829133959e-126,8.405401829133959e-126,
maximum energy that can be stored in the gut,5649.884575367861,5649.884575367861,5649.884575367861,5649.884575367861,5649.884575367861,5649.884575367861,5649.884575367861,5649.884575367861,5649.884575367861,5649.884575367861,5649.884575367861,5649.884575367861,5649.884575367861,5649.884575367861,5649.884575367861,5649.884575367861,5649.884575367861,5649.884575367861,5649.884575367861,5649.884575367861,5649.884575367861,5649.884575367861,5649.884575367861,5649.884575367861,
energy gained today,-58.23021495927687
energy balance for today,-74.183327282303
day:,23.1.1989
