daylight?,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
temp on shaded tree while standing at the height of: 30 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.42905690139321,29.732509878484336,32.26107000068646,35.34411958931753,38.648644870607995,41.338278600124,43.007889739407176,42.09322745064219,42.29737338298361,42.92403596046739,43.642070676565424,43.39688561286249,41.19386911136917,37.52593696509206,
temp on shaded tree while standing at the height of: 48 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.473562518393976,29.447385729915936,32.07093258991529,35.17985025122954,38.39376544803059,41.022045715967124,42.64216926972256,41.947051626451014,42.087405640809095,42.730905302910685,43.50092460738233,43.29885036779348,41.086363637489626,37.407283740492005,
temp on shaded tree while standing at the height of: 66 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.51501851527263,29.264734080962626,31.944404254337087,35.04587094760427,38.17828906104364,40.74729377260553,42.332328068024026,41.76644928229075,41.86451124309502,42.520424260290724,43.33229916064846,43.16166627705644,40.95574558972237,37.314243984408506,
temp on shaded tree while standing at the height of: 84 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.54938739015512,29.12387669302666,31.84773753182651,34.934026338025944,37.985549159163895,40.523192461711915,42.06403887034958,41.59836490815303,41.66158897191508,42.33376921452759,43.17601755015943,43.03333212569095,40.83414700820737,37.22501825778079,
temp on shaded tree while standing at the height of: 102 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.581015245919616,29.006424714775108,31.77042059543396,34.82909295226597,37.82332938646687,40.316223265722044,41.83277084641236,41.43682983006789,41.47244308858723,42.1498721641766,43.02061190725124,42.90565621127712,40.731799577334925,37.154267071192635,
temp on shaded tree while standing at the height of: 120 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.615039964925472,28.913195992343162,31.694658836998713,34.741027966313254,37.68600544433144,40.1401557214146,41.62842892525089,41.289233462637014,41.29702163751807,41.98729160278515,42.88028131147996,42.78481438236747,40.62535344587292,37.092768812144755,
temp on shaded tree while standing at the height of: 138 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.643708474324114,28.835310132252005,31.638123131115094,34.66241704937727,37.55569722831575,39.978123670513526,41.435764274790415,41.15072044207062,41.13304354988014,41.83713797874924,42.74452335948712,42.66883481964919,40.53075919855661,37.030033414131935,
temp on shaded tree while standing at the height of: 156 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.665023524958713,28.77224037486667,31.590780070792164,34.592702553738036,37.43382698657456,39.82326248042807,41.265322906904316,41.01820895178133,40.9861406040294,41.69196028673781,42.624176937625975,42.56381951113622,40.44194111019266,36.97782234616943,
temp on shaded tree while standing at the height of: 174 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.69590587132666,28.709740007145058,31.54098686727292,34.52235993754249,37.32148860488269,39.695086940540705,41.11162715036323,40.90020265475766,40.84080618985854,41.56162058427316,42.508044481281104,42.46796091271369,40.35689018635901,36.93742488887494,
temp on shaded tree while standing at the height of: 198 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.718775941141473,28.64094158702983,31.48415585875864,34.439325032198155,37.19306747316119,39.523474949208946,40.91524715114332,40.74658152970483,40.67580377895894,41.39849731848244,42.360058887798175,42.34032877151492,40.26151853063914,36.8701729885542,
temp on open tree while lying at the height of: 3 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.642417930964143,35.03527121334912,39.51909422013591,43.1545792351734,46.66478802213845,48.99640470540271,50.1535638907128,48.0039363428109,49.05173441325371,50.41537785011104,51.184601914863265,50.32939169587712,46.970438033695814,40.76851432912406,
temp on open tree while lying at the height of: 12 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.65017416046851,34.36677171848544,39.0511409927787,42.812064610251525,46.16880991890781,48.37137790595921,49.38656008921458,47.71332871225968,48.59495590402457,50.02306704469066,50.98958585665042,50.29524457143731,46.898782069725144,40.558445569833,
temp on open tree while lying at the height of: 21 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.671862017721992,34.08628607749989,38.80586324821559,42.533603082539855,45.75982455183578,47.84830799138604,48.76612469797482,47.247701702961876,48.05098207075804,49.51903710973767,50.585426824574654,50.00537976157392,46.669357523577276,40.374981587383616,
temp on open tree while lying at the height of: 30 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.68911290263884,33.9146630881512,38.63440915369313,42.31949271108272,45.44239101614704,47.44395240530787,48.28359257923012,46.84413619964505,47.60208489547267,49.09422913448856,50.24680038806861,49.748807186132865,46.468704658236675,40.224535914071964,
temp on open tree while lying at the height of: 48 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.718531734587202,33.68679930742337,38.395066858430766,41.99200853837772,44.95975682549346,46.83104752070602,47.558427813273966,46.20513196224516,46.90657148733362,48.43498162040049,49.696439308733034,49.32262242556476,46.13395318245597,39.99444127241577,
temp on open tree while lying at the height of: 66 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.736563199661646,33.53751129093064,38.22786915147253,41.75441977751814,44.587756838896496,46.36270045925954,47.00772204316172,45.708854504557905,46.36275755025656,47.92232780431783,49.256354187851,48.98422681412461,45.87762261858035,39.81737878572915,
temp on open tree while lying at the height of: 84 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.758169681024413,33.42176857345055,38.09006701472509,41.55468817746777,44.29083302441762,45.987415070463896,46.56339102556251,45.297710423606304,45.925925947656935,47.509234063598115,48.90726175118931,48.699587411312166,45.66495536585262,39.67076615915039,
