daylight?,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,
temp in chosen micro-environment,-5.940008544921852,-5.880010986328102,-5.859991455078102,-5.889990234374977,-5.959997558593727,-6.060003662109352,-6.179998779296852,-6.290014648437477,-6.410009765624977,-6.509985351562477,-6.609991455078102,-6.690008544921852,-6.750006103515602,-6.810003662109352,-6.829992675781227,-6.840002441406227,-6.790014648437477,-6.699987792968727,-6.570013427734352,-6.429998779296852,-6.290014648437477,-6.139990234374977,-6.009985351562477,-5.889990234374977,
last micro-environment in the current hour,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,
time in the burrow in the current hour,60.0,60,60,60,60,60,60,60,60,60,60,60,60,60,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,
time in the shade in the current hour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
time in the open in the current hour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
time on a shaded tree in the current hour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
time on an open tree in the current hour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
minutes active,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
minutes active in the open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
minutes active in the shade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
minutes active on an open tree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
minutes active on a shaded tree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
is foraging?,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
energy_lost in the current hour,0.7340539523321722,0.7384275244303975,0.7398926552907794,0.7376982763372539,0.7326025968498632,0.7253843663311352,0.7168171729692094,0.7090514000772334,0.7006771081432482,0.6937755312775886,0.6869398583840609,0.681519020976294,0.6774825076070898,0.6734699017733736,0.6721383317559334,0.6714725198995076,0.6748041097577733,0.6808459739540133,0.6896643409444934,0.699291744630115,0.7090514000772334,0.7196623269134009,0.7289856488400472,0.7376982763372539,
digesting efficiency,24.986266970426275,25.985350242914773,26.98442307332332,27.98351152845744,28.982635921092683,29.98181037561574,30.981042920690147,31.980326832240394,32.97966470792136,33.97904590424241,34.978468944894104,35.97792439466808,36.977403520988084,37.976905789502126,38.97641564957068,39.97592928894995,40.97542390665081,41.97488333155466,42.97428982329067,43.9736364796349,44.97292039118514,45.97213380737023,46.971283410742416,47.97037186587654,
energy stored in the gut,1.1854407756208515e-237,1.1854407756208515e-237,1.1854407756208515e-237,1.1854407756208515e-237,1.1854407756208515e-237,1.1854407756208515e-237,1.1854407756208515e-237,1.1854407756208515e-237,1.1854407756208515e-237,1.1854407756208515e-237,1.1854407756208515e-237,1.1854407756208515e-237,1.1854407756208515e-237,1.1854407756208515e-237,1.1854407756208515e-237,1.1854407756208515e-237,1.1854407756208515e-237,1.1854407756208515e-237,1.1854407756208515e-237,1.1854407756208515e-237,1.1854407756208515e-237,1.1854407756208515e-237,1.1854407756208515e-237,1.1854407756208515e-237,
maximum energy that can be stored in the gut,6646.460366745435,6646.460366745435,6646.460366745435,6646.460366745435,6646.460366745435,6646.460366745435,6646.460366745435,6646.460366745435,6646.460366745435,6646.460366745435,6646.460366745435,6646.460366745435,6646.460366745435,6646.460366745435,6646.460366745435,6646.460366745435,6646.460366745435,6646.460366745435,6646.460366745435,6646.460366745435,6646.460366745435,6646.460366745435,6646.460366745435,6646.460366745435,
energy gained today,-28.48678852093545
energy balance for today,-45.41819506682492
day:,16.2.1983
