daylight?,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,
temp on open tree while standing at the height of: 120 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-12.984878474796005,-7.6463835475017845,-4.326035851821871,-3.2579922675545276,-2.591951043645338,-2.182137308680126,-2.1095875742950057,-2.7851114092049443,-4.019392278253008,
temp on open tree while standing at the height of: 138 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-13.118098323329548,-7.8166835969845465,-4.500621376887693,-3.47102192632741,-2.823702613880073,-2.3904735183928096,-2.2878651904117646,-2.921769266166905,-4.081936602283349,
temp on open tree while standing at the height of: 156 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-13.222236512644088,-7.947052396013817,-4.653720442205895,-3.6447800666743433,-3.0299696193741283,-2.5821275281991234,-2.449363401512528,-3.0328654720626105,-4.124501087505678,
temp on open tree while standing at the height of: 174 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-13.330990210396067,-8.050626615294505,-4.79266246775677,-3.8195727195153495,-3.207331646123123,-2.7565982389498345,-2.593774557423842,-3.14402051676808,-4.1712490538100155,
temp on open tree while standing at the height of: 198 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-13.43194830341065,-8.199051994158083,-4.94645360366718,-4.016041024749768,-3.4166664410834073,-2.9598282915353025,-2.7658138291141654,-3.2635017882263355,-4.235943656299298,
temp in the burrow,-1.6099914550781023,-1.6900085449218523,-1.8200134277343523,-1.8500122070312273,-1.9499877929687273,-1.9499877929687273,-2.0199951171874773,-2.0199951171874773,-2.0600036621093523,-2.0700134277343523,-2.1099914550781023,-2.1099914550781023,-2.1399902343749773,-2.1499999999999773,-2.1699890136718523,-2.1600097656249773,-2.1600097656249773,-2.0499938964843523,-1.9700073242187273,-1.8800109863281023,-1.7800048828124773,-1.6900085449218523,-1.6099914550781023,-1.5600036621093523,
temp in chosen micro-environment,-1.6099914550781023,-1.6900085449218523,-1.8200134277343523,-1.8500122070312273,-1.9499877929687273,-1.9499877929687273,-2.0199951171874773,-2.0199951171874773,-2.0600036621093523,-2.0700134277343523,-2.1099914550781023,-2.1099914550781023,-2.1399902343749773,-2.1499999999999773,-2.1699890136718523,-2.1600097656249773,-2.1600097656249773,-2.0499938964843523,-1.9700073242187273,-1.8800109863281023,-1.7800048828124773,-1.6900085449218523,-1.6099914550781023,-1.5600036621093523,
last micro-environment in the current hour,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,burrow,
time in the burrow in the current hour,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,
time in the shade in the current hour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
time in the open in the current hour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
time on a shaded tree in the current hour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
time on an open tree in the current hour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
minutes active,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
minutes active in the open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
minutes active in the shade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
minutes active on an open tree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
minutes active on a shaded tree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
is foraging?,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
energy_lost in the current hour,1.1269865064680302,1.1180931360546702,1.1037933452865003,1.1005197070517942,1.0896797334575117,1.0896797334575117,1.0821527283882109,1.0821527283882109,1.077874484289209,1.0768067552556575,1.0725528870309613,1.0725528870309613,1.0693719019718264,1.0683125954903743,1.0662003511010365,1.0672543383447235,1.0672543383447235,1.0789432720505994,1.087521956388088,1.0972557777968872,1.108174465198717,1.1180931360546702,1.1269865064680302,1.1325781825293422,
digesting efficiency,24.878193750778376,25.873766010451344,26.869487440054737,27.86524292508649,28.861110914726368,29.856978904366244,30.85292476748611,31.848870630605973,32.844860662062686,33.840861705842244,34.83690657934022,35.8329514528382,36.829029055227515,37.82511754779522,38.821227741771295,39.817327109229836,40.81342647668838,41.80940548053883,42.80529581544593,43.801085218738194,44.79676101612702,45.79233327579999,46.78781244247377,47.783232957890625,
energy stored in the gut,1.037878226414479e-56,1.037878226414479e-56,1.037878226414479e-56,1.037878226414479e-56,1.037878226414479e-56,1.037878226414479e-56,1.037878226414479e-56,1.037878226414479e-56,1.037878226414479e-56,1.037878226414479e-56,1.037878226414479e-56,1.037878226414479e-56,1.037878226414479e-56,1.037878226414479e-56,1.037878226414479e-56,1.037878226414479e-56,1.037878226414479e-56,1.037878226414479e-56,1.037878226414479e-56,1.037878226414479e-56,1.037878226414479e-56,1.037878226414479e-56,1.037878226414479e-56,1.037878226414479e-56,
maximum energy that can be stored in the gut,4909.1045614838085,4909.1045614838085,4909.1045614838085,4909.1045614838085,4909.1045614838085,4909.1045614838085,4909.1045614838085,4909.1045614838085,4909.1045614838085,4909.1045614838085,4909.1045614838085,4909.1045614838085,4909.1045614838085,4909.1045614838085,4909.1045614838085,4909.1045614838085,4909.1045614838085,4909.1045614838085,4909.1045614838085,4909.1045614838085,4909.1045614838085,4909.1045614838085,4909.1045614838085,4909.1045614838085,
energy gained today,-31.762553947176336
energy balance for today,-57.94334540107459
day:,23.12.2089
